solution_id,method,sensor,algorithm,data_rate_Hz,geometric_LOD,condition_LOD,detection_threshold,storage,communication,deployment,crew_size,inspection_cycle_days,f1_total_cost_USD,f2_one_minus_recall,f3_latency_seconds,f4_traffic_disruption_hours,f5_carbon_emissions_kgCO2e_year,f6_system_reliability_inverse_MTBF,detection_recall,system_MTBF_hours,system_MTBF_years,annual_cost_USD,cost_per_km_year,carbon_footprint_tons_CO2_year,is_feasible,constraint_violation,time_seconds
1,ExpertHeuristic-LowCost,Handheld_Creaform_Go,DL_AttentionUNet_Crack,32.5,Meso,Meso,0.58,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Intel_NUC_Extreme,2,73,52840755.14583333,0.057324175898868734,365.5321003356297,500.0,832.903,0.00022724917421384618,0.9426758241011313,4400.4560344803685,0.5023351637534668,5284075.514583332,26420.377572916663,0.8329030000000001,False,42840755.14583333,0.004879474639892578
2,ExpertHeuristic-Balanced,TLS_Leica_RTC360,DL_EfficientNet_B0,46.0,Meso,Meso,0.62,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,44,27429300.54465909,0.08471056573073577,400.0,500.0,2069.4131545454547,0.00018018202002700922,0.9152894342692642,5549.943328696728,0.6335551745087589,2742930.054465909,13714.650272329545,2.0694131545454546,False,17429300.54465909,0.004879474639892578
3,ExpertHeuristic-QuickDeploy,TLS_Leica_RTC360,Traditional_Morphology,41.5,Meso,Meso,0.58,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Intel_NUC_Extreme,3,37,31807205.76265836,0.13010847436299788,321.9831191043985,500.0,2235.2055721283787,0.00014381713521223255,0.8698915256370021,6953.274368344835,0.7937527817745246,3180720.576265836,15903.602881329181,2.2352055721283786,False,21807205.76265836,0.004879474639892578
4,ExpertHeuristic-Urban,TLS_Leica_RTC360,ML_RandomForest_Fast,50.5,Meso,Meso,0.62,Storage_Azure_Blob_Hot,Communication_V2X_RSU,Deployment_Jetson_OrinNano,4,30,44744764.47153646,0.07361098375238173,400.0,500.0,3238.673369583333,0.0001868066698869532,0.9263890162476183,5353.127918854043,0.6110876619696396,4474476.447153646,22372.38223576823,3.238673369583333,False,34744764.47153646,0.004879474639892578
5,ExpertHeuristic-Rural,Handheld_Creaform_Go,DL_YOLOv7_Standard,32.5,Meso,Meso,0.58,Storage_Azure_Blob_Hot,Communication_LoRaWAN_Gateway,Deployment_Intel_NUC_Extreme,2,92,42035625.414492756,0.05572439792866546,400.0,500.0,684.6480326086956,0.00024354547051014247,0.9442756020713345,4106.009435960153,0.4687225383516156,4203562.541449276,21017.81270724638,0.6846480326086957,False,32035625.414492756,0.004879474639892578
6,ExpertHeuristic-Sustainable,Handheld_Creaform_Go,DL_AttentionUNet_Crack,23.5,Meso,Meso,0.58,Storage_Azure_Blob_Hot,Communication_LoRaWAN_Gateway,Deployment_Intel_NUC_Extreme,2,110,35657242.527030304,0.057324175898868734,400.0,500.0,524.9355654545456,0.00024354547051014247,0.9426758241011313,4106.009435960153,0.4687225383516156,3565724.2527030306,17828.621263515153,0.5249355654545456,False,25657242.527030304,0.004879474639892578
7,ExpertHeuristic-Reliable,FOS_Basic_FBG,ML_RandomForest_Fast,46.0,Meso,Meso,0.62,Storage_PostgreSQL_PostGIS,Communication_V2X_RSU,Deployment_Cloud_GPU_A4000,3,37,73265136.56303246,0.07378164660246522,13.587339710144928,0.3286631719782617,133.78934019783784,0.00012943143852109457,0.9262183533975348,7726.098167695333,0.8819746766775495,7326513.6563032465,36632.56828151623,0.13378934019783784,False,63265136.56303246,0.004879474639892578
8,ExpertHeuristic-Emergency,FOS_Luna_ODiSI,Hybrid_CNN_SVM,59.50000000000001,Meso,Meso,0.5,Storage_Azure_Blob_Hot,Communication_V2X_RSU,Deployment_Cloud_H100,4,8,154259900.8356413,0.04362582255508607,13.50890893557423,0.36518130219806855,312.78171262375,0.00012339690880235434,0.9563741774449139,8103.930720028868,0.9251062465786378,15425990.083564129,77129.95041782064,0.31278171262375004,False,144259900.8356413,0.004879474639892578
9,ExpertHeuristic-Research,UAV_YellowScan_Vx20,Traditional_Canny_Optimized,64.0,Meso,Meso,0.6599999999999999,Storage_PostgreSQL_PostGIS,Communication_V2X_RSU,Deployment_Cloud_GPU_A4000,5,19,5864600.362736842,0.1323888735420654,400.0,77.1685751750129,1417.9136665263159,0.00029158655771849713,0.8676111264579346,3429.5133761461593,0.39149696074727847,586460.0362736841,2932.3001813684205,1.417913666526316,False,200.0,0.004879474639892578
10,ExpertHeuristic-Practical,TLS_Leica_RTC360,DL_SAM_Detectron2,46.0,Meso,Meso,0.58,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,41,30068175.64231707,0.13587289700909422,400.0,500.0,2198.882409756098,0.00018018202002700922,0.8641271029909058,5549.943328696728,0.6335551745087589,3006817.5642317072,15034.087821158537,2.1988824097560977,False,20068175.64231707,0.004879474639892578
