solution_id,method,sensor,algorithm,data_rate_Hz,geometric_LOD,condition_LOD,detection_threshold,storage,communication,deployment,crew_size,inspection_cycle_days,f1_total_cost_USD,f2_one_minus_recall,f3_latency_seconds,f4_traffic_disruption_hours,f5_carbon_emissions_kgCO2e_year,f6_system_reliability_inverse_MTBF,detection_recall,system_MTBF_hours,system_MTBF_years,annual_cost_USD,cost_per_km_year,carbon_footprint_tons_CO2_year,is_feasible,constraint_violation,time_seconds
1,RandomSearchBaseline,Handheld_Creaform_Go,DL_AttentionUNet_Crack,32.5,Meso,Meso,0.58,Storage_Azure_Blob_Hot,Communication_LoRaWAN_Gateway,Deployment_Intel_NUC_Extreme,2,73,52429062.93333333,0.057324175898868734,400.0,500.0,823.803,0.00024354547051014247,0.9426758241011313,4106.009435960153,0.4687225383516156,5242906.293333333,26214.531466666664,0.823803,False,42429062.93333333,0.6252171993255615
2,RandomSearchBaseline,TLS_Leica_RTC360,DL_EfficientNet_B0,46.0,Meso,Meso,0.62,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,44,27429300.54465909,0.08471056573073577,400.0,500.0,2069.4131545454547,0.00018018202002700922,0.9152894342692642,5549.943328696728,0.6335551745087589,2742930.054465909,13714.650272329545,2.0694131545454546,False,17429300.54465909,0.6252171993255615
3,RandomSearchBaseline,Handheld_Creaform_Go,DL_YOLOv7_Standard,41.5,Meso,Meso,0.54,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,66,75814041.01107323,0.04973651155855685,382.01791273626566,500.0,1028.4937242424244,0.00022184868669367587,0.9502634884414431,4507.576830422167,0.5145635651166858,7581404.101107324,37907.02050553662,1.0284937242424244,False,65814041.01107323,0.6252171993255615
4,RandomSearchBaseline,TLS_Leica_RTC360,Traditional_Morphology,37.90324860980649,Meso,Macro,0.5881817858027063,Storage_Azure_Blob_Hot,Communication_LoRaWAN_Gateway,Deployment_Jetson_OrinNano,3,96,13633005.01511311,0.157698287655053,400.0,500.0,983.1368079872957,0.0001661284691025138,0.842301712344947,6019.4378808301935,0.6871504430171453,1363300.501511311,6816.5025075565545,0.9831368079872957,False,3633005.0151131097,0.6252171993255615
5,RandomSearchBaseline,UAV_Riegl_miniVUX3,DL_EfficientNet_B0,44.86606726421473,Meso,Meso,0.5962208192836654,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,4,62,5519958.702517722,0.07934079231794722,400.0,29.859134252306234,1195.3511868878813,0.0003051820200270092,0.9206592076820528,3276.733013011376,0.37405628002412966,551995.8702517722,2759.9793512588612,1.1953511868878814,False,200.0,0.6252171993255615
6,RandomSearchBaseline,IoT_Professional_Network,DL_EfficientNet_B0,43.46463843648475,Meso,Meso,0.7570654464557095,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_AGX_Orin,4,77,3801950.4908497697,0.12251744351196281,8.340529178971535,0.36518130219806855,163.51291310492977,0.00016278435920829578,0.8774825564880372,6143.096332249089,0.7012667045946448,380195.04908497696,1900.9752454248849,0.16351291310492977,True,0.0,0.6252171993255615
7,RandomSearchBaseline,Handheld_Creaform_Go,DL_MobileNetV3_Edge,26.450873365869796,Meso,Meso,0.6147618731715324,Storage_Azure_Blob_Hot,Communication_LoRaWAN_Gateway,Deployment_Intel_NUC_Extreme,2,99,39102207.68756011,0.08582478811217176,400.0,500.0,592.9068838336304,0.00024354547051014247,0.9141752118878282,4106.009435960153,0.4687225383516156,3910220.768756011,19551.103843780056,0.5929068838336304,False,29102207.68756011,0.6252171993255615
8,RandomSearchBaseline,Handheld_Creaform_Go,ML_RandomForest_Fast,46.48656930032002,Meso,Meso,0.5995410421531328,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,4,19,317111635.158289,0.06969545624079632,342.34119786069033,500.0,3434.5883589925206,0.0002168066698869532,0.9303045437592037,4612.404224101673,0.5265301625686841,31711163.5158289,158555.8175791445,3.434588358992521,False,307111635.158289,0.6252171993255615
9,RandomSearchBaseline,UAV_Riegl_miniVUX3,DL_AttentionUNet_Crack,20.383337644366204,Meso,Meso,0.6255185011067427,Storage_Azure_Blob_Hot,Communication_LoRaWAN_Gateway,Deployment_Jetson_OrinNano,3,68,4745399.615484154,0.06516518467262722,400.0,24.502054283510123,1098.0655690163046,0.00032147831632330554,0.9348348153273728,3110.6297041642965,0.35509471508724844,474539.96154841536,2372.6998077420767,1.0980655690163046,False,200.0,0.6252171993255615
10,RandomSearchBaseline,IoT_Professional_Network,DL_RetinaNet_Focal,34.8799435407884,Meso,Meso,0.5126558306344619,Storage_Azure_Blob_Hot,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,3,47,3860191.0918450626,0.05775624577235983,8.898922906963024,0.3286631719782617,163.59313881683912,0.00016629313113812033,0.9422437542276402,6013.477484944441,0.6864700325279043,386019.10918450623,1930.095545922531,0.16359313881683912,True,0.0,0.6252171993255615
