variant,validity_rate,feasible_rate,hv_6d
Full Ontology,1.0,0.13583333333333333,0.0
No Type Inference,0.6311725750687942,0.13583333333333333,0.0
No Compatibility,0.9927943148356225,0.13583333333333333,0.0
Property ±30%,0.9692464337452505,0.13583333333333333,0.0
Combined Degraded,0.7567251461988306,0.13583333333333333,0.0
