solution_id,method,sensor,algorithm,data_rate_Hz,geometric_LOD,condition_LOD,detection_threshold,storage,communication,deployment,crew_size,inspection_cycle_days,f1_total_cost_USD,f2_one_minus_recall,f3_latency_seconds,f4_traffic_disruption_hours,f5_carbon_emissions_kgCO2e_year,f6_system_reliability_inverse_MTBF,detection_recall,system_MTBF_hours,system_MTBF_years,annual_cost_USD,cost_per_km_year,carbon_footprint_tons_CO2_year,is_feasible,constraint_violation,time_seconds
1,RandomSearchBaseline,MMS_ZF_Profiler9020C,DL_YOLOv8_SOTA,32.5,Meso,Meso,0.58,Storage_Google_Cloud,Communication_5G_SmallCell,Deployment_Jetson_AGX_Orin,2,73,4551564.930828443,0.051173700917091614,233.92473684210526,43.82175626376822,2632.4383714285714,0.000168977009784508,0.9488262990829084,5917.964824180958,0.6755667607512509,455156.4930828443,2275.7824654142214,2.6324383714285715,False,33.92473684210526,0.7422361373901367
2,RandomSearchBaseline,TLS_Leica_RTC360,ML_SVM_Optimized,46.0,Meso,Meso,0.62,Storage_Google_Cloud,Communication_Fiber_Metro,Deployment_Intel_NUC_Extreme,3,44,51756670.402540766,0.07175754226375142,359.94122840487546,500.0,2066.808796590909,0.00016912496562630156,0.9282424577362486,5912.787602331872,0.6749757536908529,5175667.040254077,25878.335201270384,2.0668087965909088,False,41756670.402540766,0.7422361373901367
3,RandomSearchBaseline,MMS_ZF_Profiler9020C,Edge_TinyYOLO_v4,41.5,Meso,Meso,0.54,Storage_Google_Cloud,Communication_Fiber_Metro,Deployment_Intel_NUC_Extreme,3,66,4833287.916006525,0.07798823512936637,201.6107476417594,62.31795208938469,2713.6393514285714,0.00014825374042389184,0.9220117648706336,6745.1923785583285,0.7699991299724119,483328.7916006525,2416.6439580032625,2.7136393514285713,False,1.6107476417593887,0.7422361373901367
4,RandomSearchBaseline,MMS_ZF_Profiler9020C,DL_EfficientNet_B0,41.7841884542651,Meso,Meso,0.621066067236867,Storage_Google_Cloud,Communication_Fiber_Metro,Deployment_Intel_NUC_Extreme,4,41,5281900.790558094,0.08495886687225251,201.92308614465549,111.46300373711081,3114.4317579957947,0.00014825374042389184,0.9150411331277475,6745.1923785583285,0.7699991299724119,528190.0790558094,2640.950395279047,3.1144317579957947,False,1.9230861446554854,0.7422361373901367
5,RandomSearchBaseline,IoT_Professional_Network,ML_SVM_Optimized,43.43182203477823,Meso,Meso,0.5969940112218405,Storage_Google_Cloud,Communication_LoRaWAN_Gateway,Deployment_Jetson_OrinNano,2,55,47526214.6520261,0.06729406230635382,400.0,0.2556269115386479,163.60588275481828,0.00018896293574184917,0.9327059376936462,5292.043098685476,0.6041145089823603,4752621.46520261,23763.10732601305,0.16360588275481827,False,37526214.6520261,0.7422361373901367
6,RandomSearchBaseline,MMS_Trimble_MX50,DL_YOLOv8_SOTA,34.40352617794518,Meso,Meso,0.4487610014560285,Storage_Google_Cloud,Communication_5G_SmallCell,Deployment_Intel_NUC_Extreme,4,38,4841119.371317287,0.040000000000000036,238.24290128541568,115.12328231237358,2334.3815272431484,0.0001942280324940743,0.96,5148.587395748392,0.5877382871858895,484111.9371317287,2420.5596856586435,2.3343815272431483,False,38.242901285415684,0.7422361373901367
7,RandomSearchBaseline,TLS_Faro_FocusS350,DL_MaskRCNN_ResNet50,46.18699053271163,Meso,Meso,0.5679887985897049,Storage_Google_Cloud,Communication_Fiber_Metro,Deployment_Jetson_OrinNano,4,49,136545875.67300946,0.07135669051049764,400.0,500.0,2312.8665829259294,0.00013998306373216252,0.9286433094895024,7143.721342700116,0.8154933039612005,13654587.567300946,68272.93783650473,2.3128665829259294,False,126545875.67300946,0.7422361373901367
8,RandomSearchBaseline,UAV_YellowScan_Vx20,DL_MobileNetV3_Edge,37.00605307344042,Micro,Meso,0.6015053242524588,Storage_Google_Cloud,Communication_5G_SmallCell,Deployment_Jetson_AGX_Orin,1,80,3810217.598330608,0.047178737138310334,400.0,8.330698456393439,613.9546725103257,0.00033551149668669495,0.9528212628616897,2980.523796875471,0.340242442565693,381021.7598330608,1905.108799165304,0.6139546725103258,False,200.0,0.7422361373901367
9,RandomSearchBaseline,UAV_YellowScan_Vx20,DL_MobileNetV3_Edge,41.61960076451629,Meso,Meso,0.5915742120629176,Storage_Google_Cloud,Communication_5G_SmallCell,Deployment_Jetson_AGX_Orin,3,134,3985973.2637310405,0.08052187523738541,400.0,8.952392371049665,443.52099618242,0.0003240959715725397,0.9194781247626146,3085.5057998651437,0.35222668948232233,398597.32637310406,1992.9866318655204,0.44352099618241997,False,200.0,0.7422361373901367
10,RandomSearchBaseline,MMS_ZF_Profiler9020C,DL_MobileNetV3_Edge,37.96940725109734,Meso,Meso,0.5151037645235549,Storage_Google_Cloud,Communication_4G_Rural,Deployment_Intel_NUC_Extreme,4,74,5430356.095578287,0.06508943004780898,400.0,61.75652909758842,2710.5223043144642,0.00015714262931278074,0.934910569952191,6363.645589826388,0.7264435604824643,543035.6095578286,2715.178047789143,2.7105223043144644,False,200.0,0.7422361373901367
